date,time,title,url
"27 Aug 2022,Saturday",08:45 pm,Mars is not entirely red: NASA,https://www.inshorts.com/en/news/mars-is-not-entirely-red-nasa-1661613341003
"25 Aug 2022,Thursday",10:13 pm,A 100-foot-wide asteroid heading towards Earth: NASA,https://www.inshorts.com/en/news/a-100footwide-asteroid-heading-towards-earth-nasa-1661445831524
"26 Aug 2022,Friday",09:32 pm,Rocket Lab to send first private spacecraft to Venus to find signs of life,https://www.inshorts.com/en/news/rocket-lab-to-send-first-private-spacecraft-to-venus-to-find-signs-of-life-1661529720561
"25 Aug 2022,Thursday",03:39 pm,"Human ancestors walked upright 7 mn years ago, ancient limb bone suggests",https://www.inshorts.com/en/news/human-ancestors-walked-upright-7-mn-years-ago-ancient-limb-bone-suggests-1661422143551
"24 Aug 2022,Wednesday",07:46 pm,Dugongs functionally extinct in China: Study,https://www.inshorts.com/en/news/dugongs-functionally-extinct-in-china-study-1661350602744
"24 Aug 2022,Wednesday",08:10 pm,The Swiss Alps have lost 50% of their glaciers in 80 years: Study,https://www.inshorts.com/en/news/the-swiss-alps-have-lost-50-of-their-glaciers-in-80-years-study-1661352021012
"25 Aug 2022,Thursday",10:03 pm,NASA finds 'Water World' exoplanet 100 light-years away from Earth,https://www.inshorts.com/en/news/nasa-finds-water-world-exoplanet-100-lightyears-away-from-earth-1661445200432
"27 Aug 2022,Saturday",09:35 pm,BHU researchers discover new genus of cyanobacteria in Tripura,https://www.inshorts.com/en/news/bhu-researchers-discover-new-genus-of-cyanobacteria-in-tripura-1661616348291
"25 Aug 2022,Thursday",04:34 pm,Fossils of giant sea lizard that lived 66 mn yrs ago discovered in Morocco,https://www.inshorts.com/en/news/fossils-of-giant-sea-lizard-that-lived-66-mn-yrs-ago-discovered-in-morocco-1661425452658
"26 Aug 2022,Friday",08:19 pm,"In a first, NASA's James Webb Space Telescope detects CO2 on exoplanet",https://www.inshorts.com/en/news/in-a-first-nasas-james-webb-space-telescope-detects-co2-on-exoplanet-1661525388882
"25 Aug 2022,Thursday",04:12 pm,Scientists develop ‘healthy’ seasoning from mealworms to replace meat,https://www.inshorts.com/en/news/scientists-develop-healthy-seasoning-from-mealworms-to-replace-meat-1661424131911
"24 Aug 2022,Wednesday",08:16 pm,Researchers develop artificial leaves that produce clean fuel from sunlight,https://www.inshorts.com/en/news/researchers-develop-artificial-leaves-that-produce-clean-fuel-from-sunlight-1661352386309
